,index,Timestamp,Value 1,Moving average (5),Moving average (6),Moving average (8),Moving average (10)
73,73,1593139967137.0,6108.0,6689.6,6743.5,7086.25,8445.7
74,74,1593140027293.0,5148.0,5788.6,6432.666666666667,7041.625,7509.6
75,75,1593140087460.0,6337.0,6215.8,5880.0,6493.25,6817.5
76,76,1593140147628.0,3507.0,5744.2,5764.333333333333,6055.0,6617.7
77,77,1593140207796.0,9177.0,6055.4,6316.333333333333,5995.5,6463.0
78,78,1593140267968.0,3714.0,5576.6,5665.166666666667,5934.625,6133.1
79,79,1593140328138.0,7608.0,6068.6,5915.166666666667,6152.5,5928.6
80,80,1593140388276.0,4081.0,5617.4,5737.333333333333,5710.0,5916.6
81,81,1593140448438.0,5865.0,6089.0,5658.666666666667,5679.625,5916.6
82,82,1593140508608.0,5982.0,5450.0,6071.166666666667,5783.875,5752.7
83,83,1593140568776.0,5865.0,5880.2,5519.166666666667,5724.875,5728.4
84,84,1593140628944.0,5768.0,5512.2,5861.5,6007.5,5790.4
85,85,1593140689060.0,9584.0,6612.8,6190.833333333333,6058.375,6115.1
86,86,1593140749228.0,8228.0,7085.4,6882.0,6622.625,6587.2
87,87,1593140809394.0,8103.0,7509.6,7255.0,6684.5,6479.8
88,88,1593140869564.0,6245.0,7585.6,7298.833333333333,6955.0,6732.9
89,89,1593140929729.0,9923.0,8416.6,7975.166666666667,7462.25,6964.4
90,90,1593140989896.0,4451.0,7390.0,7755.666666666667,7270.875,7001.4
91,91,1593141050066.0,7034.0,7151.2,7330.666666666667,7417.0,7118.3
92,92,1593141110277.0,4261.0,6382.8,6669.5,7228.625,6946.2
93,93,1593141170448.0,6390.0,6411.8,6384.0,6829.375,6998.7
94,94,1593141230613.0,5148.0,5456.8,6201.166666666667,6444.375,6936.7
95,95,1593141290785.0,5935.0,5753.6,5536.5,6173.375,6571.8
96,96,1593141350956.0,5148.0,5376.4,5652.666666666667,6036.25,6263.8
97,97,1593141411112.0,7554.0,6035.0,5739.333333333333,5740.125,6208.9
98,98,1593141471280.0,9432.0,6643.4,6601.166666666667,6362.75,6527.6
99,99,1593141531449.0,7506.0,7115.0,6787.166666666667,6421.75,6285.9
100,100,1593141591620.0,3507.0,6629.4,6513.666666666667,6327.5,6191.5
101,101,1593141651768.0,8343.0,7268.4,6915.0,6571.625,6322.4
102,102,1593141711995.0,3979.0,6553.4,6720.166666666667,6425.5,6294.2
103,103,1593141772155.0,7214.0,6109.8,6663.5,6585.375,6376.6
104,104,1593141832325.0,4303.0,5469.2,5808.666666666667,6479.75,6292.1
105,105,1593141892493.0,10222.0,6812.2,6261.333333333333,6813.25,6720.8
106,106,1593141952607.0,8718.0,6887.2,7129.833333333333,6724.0,7077.8
107,107,1593142012776.0,10135.0,8118.4,7428.5,7052.625,7335.9
108,108,1593142072944.0,8302.0,8336.0,8149.0,7652.0,7222.9
109,109,1593142133112.0,7986.0,9072.6,8277.666666666666,7607.375,7270.9
110,110,1593142193278.0,3803.0,7788.8,8194.333333333334,7585.375,7300.5
111,111,1593142253438.0,7713.0,7587.8,7776.166666666667,7647.75,7237.5
112,112,1593142313608.0,3507.0,6262.2,6907.666666666667,7548.25,7190.3
113,113,1593142373779.0,7749.0,6151.6,6510.0,7239.125,7243.8
114,114,1593142433949.0,4081.0,5370.6,5806.5,6659.5,7221.6
115,115,1593142494119.0,5763.0,5762.6,5436.0,6113.0,6775.7
116,116,1593142554288.0,5352.0,5290.4,5694.166666666667,5744.25,6439.1
117,117,1593142614447.0,6702.0,5929.4,5525.666666666667,5583.75,6095.8
118,118,1593142674617.0,5628.0,5505.2,5879.166666666667,5811.875,5828.4
119,119,1593142734773.0,6337.0,5956.4,5643.833333333333,5639.875,5663.5
120,120,1593142794934.0,4676.0,5739.0,5743.0,5786.0,5750.8
121,121,1593142855071.0,6580.0,5984.6,5879.166666666667,5639.875,5637.5
122,122,1593142915240.0,3507.0,5345.6,5571.666666666667,5568.125,5637.5
123,123,1593142975408.0,7506.0,5721.2,5705.666666666667,5786.0,5613.2
124,124,1593143035576.0,4311.0,5316.0,5486.166666666667,5655.875,5636.2
125,125,1593143095723.0,10694.0,6519.6,6212.333333333333,6154.875,6129.3
126,126,1593143155894.0,6453.0,6494.2,6508.5,6258.0,6239.4
127,127,1593143216063.0,9179.0,7628.6,6941.666666666667,6613.25,6487.1
128,128,1593143276230.0,9825.0,8092.4,7994.666666666667,7256.875,6906.8
129,129,1593143336380.0,8536.0,8937.4,8166.333333333333,7501.375,7126.7
130,130,1593143396546.0,4962.0,7791.0,8274.833333333334,7683.25,7155.3
131,131,1593143456804.0,6337.0,7767.8,7548.666666666667,7537.125,7131.0
132,132,1593143516964.0,3507.0,6633.4,7057.666666666667,7436.625,7131.0
133,133,1593143577130.0,7749.0,6218.2,6819.333333333333,7068.5,7155.3
134,134,1593143637281.0,3507.0,5212.4,5766.333333333333,6700.25,7074.9
135,135,1593143697418.0,7506.0,5721.2,5594.666666666667,6491.125,6756.1
136,136,1593143757567.0,3979.0,5249.6,5430.833333333333,5760.375,6508.7
137,137,1593143817736.0,3750.0,5298.2,4999.666666666667,5162.125,5965.8
138,138,1593143878007.0,7608.0,5270.0,5683.166666666667,5492.875,5744.1
139,139,1593143938184.0,5763.0,5721.2,5352.166666666667,5421.125,5466.8
140,140,1593143998655.0,5766.0,5373.2,5728.666666666667,5703.5,5547.2
141,141,1593144058920.0,6760.0,5929.4,5604.333333333333,5579.875,5589.5
142,142,1593144119091.0,3816.0,5942.6,5577.166666666667,5618.5,5620.4
143,143,1593144179249.0,7506.0,5922.2,6203.166666666667,5618.5,5596.1
144,144,1593144239414.0,3507.0,5471.0,5519.666666666667,5559.5,5596.1
145,145,1593144299581.0,8025.0,5922.8,5896.666666666667,6093.875,5648.0
146,146,1593144359749.0,4255.0,5421.8,5644.833333333333,5674.75,5675.6
147,147,1593144420323.0,7655.0,6189.6,5794.0,5911.25,6066.1
148,148,1593144480494.0,5493.0,5787.0,6073.5,5877.125,5854.6
149,149,1593144540739.0,5865.0,6258.6,5800.0,5765.25,5864.8
150,150,1593144601108.0,5148.0,5683.2,6073.5,5931.75,5803.0
151,151,1593144661546.0,6337.0,6099.6,5792.166666666667,5785.625,5760.7
152,152,1593144721993.0,4778.0,5524.2,5879.333333333333,5944.5,5856.9
153,153,1593144782352.0,6932.0,5812.0,5758.833333333333,5807.875,5799.5
154,154,1593144842493.0,4481.0,5535.2,5590.166666666667,5836.125,5896.9
155,155,1593144902662.0,7506.0,6006.8,5863.666666666667,5817.5,5845.0
156,156,1593144962808.0,6429.0,6025.2,6077.166666666667,5934.5,6062.4
157,157,1593145022948.0,7753.0,6620.2,6313.166666666667,6170.5,6072.2
158,158,1593145083118.0,10157.0,7265.2,7209.666666666667,6796.625,6538.6
159,159,1593145143690.0,6945.0,7758.0,7211.833333333333,6872.625,6646.6
160,160,1593145203854.0,5677.0,7392.2,7411.166666666667,6985.0,6699.5
